Exit code: 0
Wall time: 1 seconds
Total output lines: 2402
Output:
iteration,representation,condition,target_linear_p,target_nonlinear_p,target_combined_p,target_linear_significant,target_nonlinear_significant,target_combined_significant,finite,bounded
1,R1,common_pair,0.0005,0.0005,0.0005,True,True,True,True,True
1,R2,common_pair,0.0005,0.0005,0.0005,True,True,True,True,True
1,R3,common_pair,0.0005,0.0005,0.0005,True,True,True,True,True
1,R4,common_pair,0.0005,0.0005,0.0005,True,True,True,True,True
1,R1,direct_linear,0.0005,0.0005,0.0005,True,True,True,True,True
1,R2,direct_linear,0.0005,0.0005,0.0005,True,True,True,True,True
1,R3,direct_linear,0.0005,0.0005,0.0005,True,True,True,True,True
1,R4,direct_linear,0.0005,0.0005,0.0005,True,True,True,True,True
1,R1,global_common,0.0005,0.0005,0.0005,True,True,True,True,True
1,R2,global_common,0.0005,0.0005,0.0005,True,True,True,True,True
1,R3,global_common,0.0005,0.0005,0.0005,True,True,True,True,True
1,R4,global_common,0.0005,0.0005,0.0005,True,True,True,True,True
1,R1,nonlinear_square,1.0,0.0005,1.0,False,True,False,True,True
1,R2,nonlinear_square,0.999,0.003,0.999,False,True,False,True,True
1,R3,nonlinear_square,0.9635,0.0005,0.65,False,True,False,True,True
1,R4,nonlinear_square,0.881,0.0005,0.881,False,True,False,True,True
1,R1,nonlinear_tanh,0.0005,0.0005,0.0005,True,True,True,True,True
1,R2,nonlinear_tanh,0.0005,0.0005,0.0005,True,True,True,True,True
1,R3,nonlinear_tanh,0.0005,0.0005,0.0005,True,True,True,True,True
1,R4,nonlinear_tanh,0.0005,0.0005,0.0005,True,True,True,True,True
1,R1,null,0.709,0.9595,0.709,False,False,False,True,True
1,R2,null,0.9995,0.7105,0.9995,False,False,False,True,True
1,R3,null,1.0,1.0,1.0,False,False,False,True,True
1,R4,null,0.1145,0.312,0.1145,False,False,False,True,True
2,R1,common_pair,0.0005,0.0005,0.0005,True,True,True,True,True
2,R2,common_pair,0.0005,0.0005,0.0005,True,True,True,True,True
2,R3,common_pair,0.0005,0.0005,0.0005,True,True,True,True,True
2,R4,common_pair,0.0005,0.0005,0.0005,True,True,True,True,True
2,R1,direct_linear,0.0005,0.0005,0.0005,True,True,True,True,True
2,R2,direct_linear,0.0005,0.0005,0.0005,True,True,True,True,True
